quarter,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2026-04-01,StackAdapt - CTV - Open Auction (Canada),6716.56,,496.35,,0
2025-01-01,StackAdapt - Desktop - Open Auction,6640.21,,,,0
2026-01-01,Conversant - InApp - Open Auction,6622.94,,,,0
2026-04-01,LoopMe - Open Auction - CTV,6608.09,,2223.45,,0
2025-07-01,Conversant Pluto CTV (204778),6595.38,,,1323.38,0
2025-07-01,MadHive - CTV - 1st Price (Paramount OA),6582.97,,,1695.81,0
2026-01-01,TTD - Desktop - 1st Price (HB),6458.93,,,,0
2025-01-01,SundaySky - MW - 1st Price,6447.09,,,,0
2026-04-01,TrueX FireTV AVOD,6424.98,,825.3,,0
2025-01-01,TTD - MW - 1st Price (HB),6410.99,,,,0
2026-07-01,Basis - CTV - oRTB - (US),6332.73,6332.73,,,0
2026-01-01,Octillion - CTV - Open,6325.21,,,,0
2025-04-01,TTD - Desktop [Display],6320.37,,,,0
2025-04-01,Bidswitch - APP,6313.61,,,,0
2026-01-01,TrueX LG games,6276.92,,,,0
2026-04-01,Lemma DSP Inapp Video,6268.98,,945.43,,0
2025-07-01,SmartyAds - CTV (Paramount),6115.36,,,734.48,0
2026-01-01,TrueX FireTV AVOD,6092.78,,,,0
2025-01-01,TTD - Desktop - 1st Price (HB),6057.04,,,,0
2025-01-01,GroundTruth Video CTV - Efficiency Monitoring,6021.57,,,,0
2026-04-01,TrueX LG games,6010.14,,793.44,,0
2025-07-01,StackAdapt - CTV - Open Auction (Canada),5947.52,,,,0
2026-07-01,TrueX Roku AVOD,5924.58,5924.58,,,0
2026-01-01,TTD - MW - 1st Price (HB),5831.53,,,,0
2025-01-01,Bidswitch - MW [Display],5706.81,,,,0
2026-04-01,Conversant - CTV - Open Auction,5691.91,,1820.25,,0
2025-07-01,Viant - APP,5626.67,,,176.84,0
2026-01-01,TTD - CTV (LG Ads Only),5598.79,,,,0
2025-10-01,TTD - CTV (LG Ads Only),5592.85,,,,0
2025-10-01,Sharethrough CTV Video - Shamrock Farms Bundle Optimized,5554.64,,,,0
2025-01-01,TrueX LG games,5424.22,,,,0
2025-04-01,SimpliFi - MW [Display],5303.83,,,,0
2025-01-01,SimpliFi - CTV - 1st Price (Glewed),5255.38,,,,0
2025-10-01,Adtelligent - CTV,5228.47,,,,0
2025-01-01,Roku_games_xandr_$9,5219.67,,,,0
2025-01-01,Roku_videos_xandr_,5206.69,,,,0
2025-10-01,Centro Display Web,5195.01,,,,0
2025-10-01,TTD - CTV - oRTB (Canada),5192.03,,,,0
2025-07-01,SimpliFi - MW [Display],5184.1,,,741.57,0
2025-07-01,Viant - MW [Display],5155.43,,,1020.5,0
2025-04-01,SmartyAds - CTV (Streaming Apps),5125.71,,,,0
2025-01-01,SimpliFi - APP - 1st Price,5107.29,,,,0
2025-10-01,Bidswitch - Desktop - 1st Price (HB),5065.07,,,,0
2025-04-01,Viant - Desktop [Display],5031.18,,,,0
2026-04-01,SmartyAds - CTV (Plex),4921.37,,129.46,,0
2025-04-01,StackAdapt - Desktop - Open Auction,4846.88,,,,0
2025-01-01,SimpliFi - Desktop [Display],4786.53,,,,0
2026-01-01,Yahoo - CTV - Open Auction,4782.97,,,,0
2025-04-01,535Media - oRTB CTV,4768.32,,,,0
2026-04-01,Bidswitch - Seedtag,4737.03,,2755.84,,0
2026-04-01,Centro Video Web (1st Price),4719.84,,1978.64,,0
2025-04-01,StackAdapt - CTV - Open Auction - Efficiency Monitoring,4699.54,,,,0
2025-04-01,SmartyAds - CTV (1st Price),4669.82,,,,0
2025-04-01,Bidswitch - MW [Display],4627.57,,,,0
2026-04-01,Yahoo - CTV - Open Auction,4572.18,,251.55,,0
2025-04-01,Conversant - CTV - Open Auction (Charter),4547.5,,,,0
2026-07-01,Adtelligent - CTV - A+E Networks $15,4538.97,4538.97,,,0
2025-04-01,SimpliFi - Seedtag,4515.13,,,,0
2026-01-01,Centro Display InApp,4502.85,,,,0
2025-07-01,SimpliFi - Seedtag,4500.65,,,592.57,0
2025-01-01,Bidswitch - Desktop [Display],4491.18,,,,0
2026-04-01,Adtelligent - CTV,4454.68,,592.11,,0
2025-04-01,Conversant - InApp - Open Auction,4417.14,,,,0
2026-07-01,SkyUK_Play.Works UK non Sky,4349.48,4349.48,,,0
2026-04-01,TTD - Desktop - 1st Price (HB),4320.89,,467.72,,0
2025-10-01,Bidswitch - APP 1st Price,4317.74,,,,0
2025-01-01,Seedtag - Open Auction-  Ads.txt Updated CTV Supply  ,4310.9,,,,0
2025-04-01,TTD - CTV (Charter),4264.61,,,,0
2025-04-01,Roku_videos_xandr_,4215.39,,,,0
2026-04-01,TTD - CTV (UK) ,4167.93,,213.76,,0
2025-04-01,Roku_games_xandr_$9,4143.77,,,,0
2025-04-01,Ad Theorent - APP [Display],4130.42,,,,0
2025-04-01,Conversant - Web - Open Auction - Display,4092.58,,,,0
2026-01-01,Conversant - Web - Open Auction - Seedtag,4072.13,,,,0
2025-10-01,Octillion - CTV - Open,4071.08,,,,0
